time,sample_id,moisture_perc,fm_soil_g
post-freeze,OTO-101,170.46,27.05
post-freeze,OTO-102,163.68,26.38
post-freeze,OTO-103,173.31,27.35
post-freeze,OTO-104,161.84,26.17
post-freeze,OTO-105,164.51,26.44
post-freeze,OTO-201,159.94,25.99
post-freeze,OTO-202,164.39,26.44
post-freeze,OTO-203,163.30,26.34
post-freeze,OTO-204,166.99,26.70
post-freeze,OTO-205,148.16,24.82
post-freeze,OTO-301,160.49,26.04
post-freeze,OTO-302,149.50,24.95
post-freeze,OTO-303,148.52,24.87
post-freeze,OTO-304,159.94,26.01
post-freeze,OTO-305,160.31,26.04
post-freeze,OTO-401,146.92,24.69
post-freeze,OTO-402,149.05,24.90
post-freeze,OTO-403,146.19,24.63
post-freeze,OTO-404,141.46,24.13
post-freeze,OTO-405,156.54,25.65
post-freeze,OTB-101,23.77,12.38
post-freeze,OTB-102,24.25,12.41
post-freeze,OTB-103,27.28,12.73
post-freeze,OTB-104,22.04,12.18
post-freeze,OTB-105,22.27,12.23
post-freeze,OTB-201,24.77,12.47
post-freeze,OTB-202,21.28,12.12
post-freeze,OTB-203,22.11,12.21
post-freeze,OTB-204,26.29,12.62
post-freeze,OTB-205,21.84,12.18
post-freeze,OTB-301,17.17,11.73
post-freeze,OTB-302,19.19,11.91
post-freeze,OTB-303,20.18,12.01
post-freeze,OTB-304,20.67,12.06
post-freeze,OTB-305,24.74,12.48
post-freeze,OTB-401,10.99,11.10
post-freeze,OTB-402,7.28,10.71
post-freeze,OTB-403,8.44,10.83
post-freeze,OTB-404,7.44,10.76
post-freeze,OTB-405,20.84,12.10
initial,OTO-101,182.55,28.26
initial,OTO-102,182.55,28.25
initial,OTO-103,182.55,28.26
initial,OTO-104,182.55,28.26
initial,OTO-105,182.55,28.26
initial,OTO-201,181.56,28.16
initial,OTO-202,181.56,28.18
initial,OTO-203,181.56,28.17
initial,OTO-204,181.56,28.17
initial,OTO-205,181.56,28.18
initial,OTO-301,187.43,28.74
initial,OTO-302,187.43,28.75
initial,OTO-303,187.43,28.75
initial,OTO-304,187.43,28.73
initial,OTO-305,187.43,28.74
initial,OTO-401,176.23,27.64
initial,OTO-402,176.23,27.62
initial,OTO-403,176.23,27.64
initial,OTO-404,176.23,27.62
initial,OTO-405,176.23,27.63
initial,OTB-101,37.10,13.73
initial,OTB-102,37.10,13.70
initial,OTB-103,37.10,13.71
initial,OTB-104,37.10,13.71
initial,OTB-105,37.10,13.72
initial,OTB-201,37.60,13.75
initial,OTB-202,37.60,13.75
initial,OTB-203,37.60,13.77
initial,OTB-204,37.60,13.77
initial,OTB-205,37.60,13.78
initial,OTB-301,37.40,13.76
initial,OTB-302,37.40,13.73
initial,OTB-303,37.40,13.74
initial,OTB-304,37.40,13.74
initial,OTB-305,37.40,13.75
initial,OTB-401,37.82,13.79
initial,OTB-402,37.82,13.77
initial,OTB-403,37.82,13.80
initial,OTB-404,37.82,13.77
initial,OTB-405,37.82,13.77