time,sample_id,timepoint_min,CO2_moles_per_mL,notes1,notes2
initial,OTB-101,0,0.11,,
initial,OTB-101,20,,,
initial,OTB-101,40,0.16,,
initial,OTB-101,60,,,
initial,OTB-102,0,0.09,,
initial,OTB-102,20,0.14,,
initial,OTB-102,40,0.15,,
initial,OTB-102,60,,,
initial,OTB-103,0,0.09,,
initial,OTB-103,20,0.13,,
initial,OTB-103,40,0.14,,
initial,OTB-103,60,,,
initial,OTB-104,0,0.09,,
initial,OTB-104,20,0.14,,
initial,OTB-104,40,0.15,,
initial,OTB-104,60,0.16,,
initial,OTB-105,0,0.09,,
initial,OTB-105,20,0.13,,
initial,OTB-105,40,0.14,,
initial,OTB-105,60,,,
initial,OTB-201,0,0.11,,
initial,OTB-201,20,0.14,,
initial,OTB-201,40,0.15,,
initial,OTB-201,60,,,
initial,OTB-202,0,0.11,,
initial,OTB-202,20,0.16,,
initial,OTB-202,40,0.17,,
initial,OTB-202,60,,,
initial,OTB-203,0,0.11,,
initial,OTB-203,20,0.15,,
initial,OTB-203,40,0.16,,
initial,OTB-203,60,0.17,,
initial,OTB-204,0,0.10,,
initial,OTB-204,20,0.15,,
initial,OTB-204,40,0.16,,
initial,OTB-204,60,,,
initial,OTB-205,0,0.10,,
initial,OTB-205,20,0.14,,
initial,OTB-205,40,0.15,,
initial,OTB-205,60,,,
initial,OTB-301,0,0.11,,
initial,OTB-301,20,,,
initial,OTB-301,40,0.14,,
initial,OTB-301,60,0.15,,
initial,OTB-302,0,0.11,,
initial,OTB-302,20,0.14,,
initial,OTB-302,40,0.16,,
initial,OTB-302,60,,,
initial,OTB-303,0,0.11,,
initial,OTB-303,20,0.14,,
initial,OTB-303,40,,,
initial,OTB-303,60,,,
initial,OTB-304,0,0.11,,
initial,OTB-304,20,0.14,,
initial,OTB-304,40,0.15,,
initial,OTB-304,60,,,
initial,OTB-305,0,0.12,,
initial,OTB-305,20,0.16,,
initial,OTB-305,40,,,
initial,OTB-305,60,,,
initial,OTB-401,0,0.12,,
initial,OTB-401,20,0.14,,
initial,OTB-401,40,0.16,,
initial,OTB-401,60,,,
initial,OTB-402,0,0.12,,
initial,OTB-402,20,,,
initial,OTB-402,40,0.14,,
initial,OTB-402,60,0.15,,
initial,OTB-403,0,0.13,,
initial,OTB-403,20,0.15,,
initial,OTB-403,40,0.16,,
initial,OTB-403,60,,,
initial,OTB-404,0,0.12,,
initial,OTB-404,20,0.14,,
initial,OTB-404,40,0.16,,
initial,OTB-404,60,,,
initial,OTB-405,0,0.14,,
initial,OTB-405,20,0.16,,
initial,OTB-405,40,0.17,,
initial,OTB-405,60,,,
initial,OTO-101,0,0.34,,
initial,OTO-101,20,,,
initial,OTO-101,40,0.53,,
initial,OTO-101,60,,,
initial,OTO-102,0,0.27,,
initial,OTO-102,20,,,
initial,OTO-102,40,0.38,,
initial,OTO-102,60,,,
initial,OTO-103,0,0.44,,
initial,OTO-103,20,0.59,,
initial,OTO-103,40,0.62,,
initial,OTO-103,60,,,
initial,OTO-104,0,0.89,,
initial,OTO-104,20,,,
initial,OTO-104,40,0.96,,
initial,OTO-104,60,,,
initial,OTO-105,0,0.23,,
initial,OTO-105,20,0.51,,
initial,OTO-105,40,0.56,,
initial,OTO-105,60,,,
initial,OTO-201,0,0.21,,
initial,OTO-201,20,0.46,,
initial,OTO-201,40,0.47,,
initial,OTO-201,60,,,
initial,OTO-202,0,0.16,,
initial,OTO-202,20,0.41,,
initial,OTO-202,40,0.42,,
initial,OTO-202,60,,,
initial,OTO-203,0,0.89,,
initial,OTO-203,20,0.92,,
initial,OTO-203,40,0.98,,
initial,OTO-203,60,,,
initial,OTO-204,0,0.77,,
initial,OTO-204,20,0.81,,
initial,OTO-204,40,0.82,,
initial,OTO-204,60,,,
initial,OTO-205,0,0.37,,
initial,OTO-205,20,0.51,,
initial,OTO-205,40,0.52,,
initial,OTO-205,60,,,
initial,OTO-301,0,0.30,,
initial,OTO-301,20,0.38,,
initial,OTO-301,40,0.39,,
initial,OTO-301,60,,,
initial,OTO-302,0,0.61,,
initial,OTO-302,20,0.67,,
initial,OTO-302,40,0.68,,
initial,OTO-302,60,,,
initial,OTO-303,0,0.27,,
initial,OTO-303,20,0.45,,
initial,OTO-303,40,,,
initial,OTO-303,60,,,
initial,OTO-304,0,0.24,,
initial,OTO-304,20,0.47,,
initial,OTO-304,40,0.49,,
initial,OTO-304,60,,,
initial,OTO-305,0,0.17,,
initial,OTO-305,20,0.43,,
initial,OTO-305,40,0.45,,
initial,OTO-305,60,,,
initial,OTO-401,0,0.85,,
initial,OTO-401,20,0.89,,
initial,OTO-401,40,0.89,,
initial,OTO-401,60,,,
initial,OTO-402,0,0.15,,
initial,OTO-402,20,0.38,,
initial,OTO-402,40,0.40,,
initial,OTO-402,60,,,
initial,OTO-403,0,0.18,,
initial,OTO-403,20,0.45,,
initial,OTO-403,40,0.46,,
initial,OTO-403,60,,,
initial,OTO-404,0,0.25,,
initial,OTO-404,20,0.46,,
initial,OTO-404,40,0.49,,
initial,OTO-404,60,,,
initial,OTO-405,0,0.21,,
initial,OTO-405,20,,,
initial,OTO-405,40,0.44,,
initial,OTO-405,60,,,
post-freeze-0hr,OTB-101,0,0.12,extended timeseries,skip
post-freeze-0hr,OTB-101,20,0.12,extended timeseries,skip
post-freeze-0hr,OTB-101,40,0.14,extended timeseries,skip
post-freeze-0hr,OTB-101,60,0.16,extended timeseries,skip
post-freeze-0hr,OTB-102,0,0.11,extended timeseries,skip
post-freeze-0hr,OTB-102,20,0.14,extended timeseries,skip
post-freeze-0hr,OTB-102,40,0.15,extended timeseries,skip
post-freeze-0hr,OTB-102,60,0.16,extended timeseries,skip
post-freeze-0hr,OTB-103,0,0.12,extended timeseries,skip
post-freeze-0hr,OTB-103,20,0.13,extended timeseries,skip
post-freeze-0hr,OTB-103,40,0.13,extended timeseries,skip
post-freeze-0hr,OTB-103,60,0.16,extended timeseries,skip
post-freeze-0hr,OTB-104,0,0.15,extended timeseries,skip
post-freeze-0hr,OTB-104,20,,extended timeseries,skip
post-freeze-0hr,OTB-104,40,,extended timeseries,skip
post-freeze-0hr,OTB-104,60,0.18,extended timeseries,skip
post-freeze-0hr,OTB-105,0,0.13,extended timeseries,skip
post-freeze-0hr,OTB-105,20,0.15,extended timeseries,skip
post-freeze-0hr,OTB-105,40,0.16,extended timeseries,skip
post-freeze-0hr,OTB-105,60,0.17,extended timeseries,skip
post-freeze-0hr,OTB-201,0,0.11,extended timeseries,skip
post-freeze-0hr,OTB-201,20,0.13,extended timeseries,skip
post-freeze-0hr,OTB-201,40,0.14,extended timeseries,skip
post-freeze-0hr,OTB-201,60,0.17,extended timeseries,skip
post-freeze-0hr,OTB-202,0,0.12,extended timeseries,skip
post-freeze-0hr,OTB-202,20,0.13,extended timeseries,skip
post-freeze-0hr,OTB-202,40,0.16,extended timeseries,skip
post-freeze-0hr,OTB-202,60,0.18,extended timeseries,skip
post-freeze-0hr,OTB-203,0,0.12,extended timeseries,skip
post-freeze-0hr,OTB-203,20,0.14,extended timeseries,skip
post-freeze-0hr,OTB-203,40,0.16,extended timeseries,skip
post-freeze-0hr,OTB-203,60,0.17,extended timeseries,skip
post-freeze-0hr,OTB-204,0,0.13,extended timeseries,skip
post-freeze-0hr,OTB-204,20,0.14,extended timeseries,skip
post-freeze-0hr,OTB-204,40,0.15,extended timeseries,skip
post-freeze-0hr,OTB-204,60,0.18,extended timeseries,skip
post-freeze-0hr,OTB-205,0,0.14,extended timeseries,skip
post-freeze-0hr,OTB-205,20,0.14,extended timeseries,skip
post-freeze-0hr,OTB-205,40,0.17,extended timeseries,skip
post-freeze-0hr,OTB-205,60,0.18,extended timeseries,skip
post-freeze-0hr,OTB-301,0,0.13,extended timeseries,
post-freeze-0hr,OTB-301,20,0.14,extended timeseries,
post-freeze-0hr,OTB-301,40,0.19,extended timeseries,
post-freeze-0hr,OTB-301,60,0.20,extended timeseries,
post-freeze-0hr,OTB-302,0,0.13,extended timeseries,
post-freeze-0hr,OTB-302,20,0.14,extended timeseries,
post-freeze-0hr,OTB-302,40,0.18,extended timeseries,
post-freeze-0hr,OTB-302,60,0.18,extended timeseries,
post-freeze-0hr,OTB-303,0,0.15,extended timeseries,
post-freeze-0hr,OTB-303,20,0.15,extended timeseries,
post-freeze-0hr,OTB-303,40,0.18,extended timeseries,
post-freeze-0hr,OTB-303,60,0.18,extended timeseries,
post-freeze-0hr,OTB-304,0,0.14,extended timeseries,
post-freeze-0hr,OTB-304,20,0.15,extended timeseries,
post-freeze-0hr,OTB-304,40,0.17,extended timeseries,
post-freeze-0hr,OTB-304,60,0.19,extended timeseries,
post-freeze-0hr,OTB-305,0,0.15,extended timeseries,
post-freeze-0hr,OTB-305,20,0.16,extended timeseries,
post-freeze-0hr,OTB-305,40,0.17,extended timeseries,
post-freeze-0hr,OTB-305,60,0.19,extended timeseries,
post-freeze-0hr,OTB-401,0,0.12,extended timeseries,
post-freeze-0hr,OTB-401,20,0.12,extended timeseries,
post-freeze-0hr,OTB-401,40,0.13,extended timeseries,
post-freeze-0hr,OTB-401,60,0.14,extended timeseries,
post-freeze-0hr,OTB-402,0,0.11,extended timeseries,
post-freeze-0hr,OTB-402,20,0.12,extended timeseries,
post-freeze-0hr,OTB-402,40,0.13,extended timeseries,
post-freeze-0hr,OTB-402,60,0.14,extended timeseries,
post-freeze-0hr,OTB-403,0,0.12,extended timeseries,
post-freeze-0hr,OTB-403,20,0.12,extended timeseries,
post-freeze-0hr,OTB-403,40,0.13,extended timeseries,
post-freeze-0hr,OTB-403,60,0.13,extended timeseries,
post-freeze-0hr,OTB-404,0,0.12,extended timeseries,
post-freeze-0hr,OTB-404,20,0.12,extended timeseries,
post-freeze-0hr,OTB-404,40,0.14,extended timeseries,
post-freeze-0hr,OTB-404,60,0.14,extended timeseries,
post-freeze-0hr,OTB-405,0,0.12,extended timeseries,
post-freeze-0hr,OTB-405,20,0.12,extended timeseries,
post-freeze-0hr,OTB-405,40,0.13,extended timeseries,
post-freeze-0hr,OTB-405,60,0.15,extended timeseries,
post-freeze-0hr,OTO-101,0,0.11,extended timeseries,skip
post-freeze-0hr,OTO-101,20,0.11,extended timeseries,skip
post-freeze-0hr,OTO-101,40,0.12,extended timeseries,skip
post-freeze-0hr,OTO-101,60,0.13,extended timeseries,skip
post-freeze-0hr,OTO-102,0,0.11,extended timeseries,skip
post-freeze-0hr,OTO-102,20,0.11,extended timeseries,skip
post-freeze-0hr,OTO-102,40,0.12,extended timeseries,skip
post-freeze-0hr,OTO-102,60,0.13,extended timeseries,skip
post-freeze-0hr,OTO-103,0,0.11,extended timeseries,skip
post-freeze-0hr,OTO-103,20,0.12,extended timeseries,skip
post-freeze-0hr,OTO-103,40,0.13,extended timeseries,skip
post-freeze-0hr,OTO-103,60,0.14,extended timeseries,skip
post-freeze-0hr,OTO-104,0,0.12,extended timeseries,skip
post-freeze-0hr,OTO-104,20,0.12,extended timeseries,skip
post-freeze-0hr,OTO-104,40,0.13,extended timeseries,skip
post-freeze-0hr,OTO-104,60,0.14,extended timeseries,skip
post-freeze-0hr,OTO-105,0,0.14,extended timeseries,skip
post-freeze-0hr,OTO-105,20,,extended timeseries,skip
post-freeze-0hr,OTO-105,40,,extended timeseries,skip
post-freeze-0hr,OTO-105,60,0.17,extended timeseries,skip
post-freeze-0hr,OTO-201,0,0.11,extended timeseries,skip
post-freeze-0hr,OTO-201,20,0.12,extended timeseries,skip
post-freeze-0hr,OTO-201,40,0.13,extended timeseries,skip
post-freeze-0hr,OTO-201,60,0.14,extended timeseries,skip
post-freeze-0hr,OTO-202,0,0.13,extended timeseries,skip
post-freeze-0hr,OTO-202,20,0.13,extended timeseries,skip
post-freeze-0hr,OTO-202,40,0.14,extended timeseries,skip
post-freeze-0hr,OTO-202,60,0.16,extended timeseries,skip
post-freeze-0hr,OTO-203,0,0.13,extended timeseries,skip
post-freeze-0hr,OTO-203,20,0.13,extended timeseries,skip
post-freeze-0hr,OTO-203,40,0.15,extended timeseries,skip
post-freeze-0hr,OTO-203,60,0.16,extended timeseries,skip
post-freeze-0hr,OTO-204,0,0.14,extended timeseries,skip
post-freeze-0hr,OTO-204,20,0.13,extended timeseries,skip
post-freeze-0hr,OTO-204,40,0.15,extended timeseries,skip
post-freeze-0hr,OTO-204,60,0.15,extended timeseries,skip
post-freeze-0hr,OTO-205,0,0.13,extended timeseries,skip
post-freeze-0hr,OTO-205,20,0.14,extended timeseries,skip
post-freeze-0hr,OTO-205,40,0.14,extended timeseries,skip
post-freeze-0hr,OTO-205,60,0.16,extended timeseries,skip
post-freeze-0hr,OTO-301,0,0.12,extended timeseries,
post-freeze-0hr,OTO-301,20,0.13,extended timeseries,
post-freeze-0hr,OTO-301,40,0.14,extended timeseries,
post-freeze-0hr,OTO-301,60,0.16,extended timeseries,
post-freeze-0hr,OTO-302,0,0.14,extended timeseries,
post-freeze-0hr,OTO-302,20,0.14,extended timeseries,
post-freeze-0hr,OTO-302,40,0.16,extended timeseries,
post-freeze-0hr,OTO-302,60,0.16,extended timeseries,
post-freeze-0hr,OTO-303,0,0.12,extended timeseries,
post-freeze-0hr,OTO-303,20,0.14,extended timeseries,
post-freeze-0hr,OTO-303,40,0.14,extended timeseries,
post-freeze-0hr,OTO-303,60,0.16,extended timeseries,
post-freeze-0hr,OTO-304,0,0.14,extended timeseries,
post-freeze-0hr,OTO-304,20,0.15,extended timeseries,
post-freeze-0hr,OTO-304,40,0.15,extended timeseries,
post-freeze-0hr,OTO-304,60,0.17,extended timeseries,
post-freeze-0hr,OTO-305,0,0.14,extended timeseries,
post-freeze-0hr,OTO-305,20,0.14,extended timeseries,
post-freeze-0hr,OTO-305,40,0.16,extended timeseries,
post-freeze-0hr,OTO-305,60,0.16,extended timeseries,
post-freeze-0hr,OTO-401,0,0.13,extended timeseries,
post-freeze-0hr,OTO-401,20,0.14,extended timeseries,
post-freeze-0hr,OTO-401,40,0.14,extended timeseries,
post-freeze-0hr,OTO-401,60,0.16,extended timeseries,
post-freeze-0hr,OTO-402,0,0.12,extended timeseries,
post-freeze-0hr,OTO-402,20,0.13,extended timeseries,
post-freeze-0hr,OTO-402,40,0.15,extended timeseries,
post-freeze-0hr,OTO-402,60,0.18,extended timeseries,
post-freeze-0hr,OTO-403,0,0.13,extended timeseries,
post-freeze-0hr,OTO-403,20,0.15,extended timeseries,
post-freeze-0hr,OTO-403,40,0.15,extended timeseries,
post-freeze-0hr,OTO-403,60,0.17,extended timeseries,
post-freeze-0hr,OTO-404,0,0.14,extended timeseries,
post-freeze-0hr,OTO-404,20,0.15,extended timeseries,
post-freeze-0hr,OTO-404,40,0.16,extended timeseries,
post-freeze-0hr,OTO-404,60,0.18,extended timeseries,
post-freeze-0hr,OTO-405,0,0.15,extended timeseries,
post-freeze-0hr,OTO-405,20,0.15,extended timeseries,
post-freeze-0hr,OTO-405,40,0.16,extended timeseries,
post-freeze-0hr,OTO-405,60,0.16,extended timeseries,
post-freeze-24hr,OTB-101,0,0.10,extended timeseries,skip
post-freeze-24hr,OTB-101,20,0.12,extended timeseries,skip
post-freeze-24hr,OTB-101,40,0.13,extended timeseries,skip
post-freeze-24hr,OTB-101,60,,extended timeseries,skip
post-freeze-24hr,OTB-102,0,0.10,extended timeseries,skip
post-freeze-24hr,OTB-102,20,,extended timeseries,skip
post-freeze-24hr,OTB-102,40,0.11,extended timeseries,skip
post-freeze-24hr,OTB-102,60,0.13,extended timeseries,skip
post-freeze-24hr,OTB-103,0,0.10,extended timeseries,skip
post-freeze-24hr,OTB-103,20,0.11,extended timeseries,skip
post-freeze-24hr,OTB-103,40,0.12,extended timeseries,skip
post-freeze-24hr,OTB-103,60,0.13,extended timeseries,skip
post-freeze-24hr,OTB-104,0,0.12,extended timeseries,skip
post-freeze-24hr,OTB-104,20,0.12,extended timeseries,skip
post-freeze-24hr,OTB-104,40,0.13,extended timeseries,skip
post-freeze-24hr,OTB-104,60,0.13,extended timeseries,skip
post-freeze-24hr,OTB-105,0,0.11,extended timeseries,skip
post-freeze-24hr,OTB-105,20,,extended timeseries,skip
post-freeze-24hr,OTB-105,40,0.12,extended timeseries,skip
post-freeze-24hr,OTB-105,60,0.13,extended timeseries,skip
post-freeze-24hr,OTB-201,0,0.11,extended timeseries,skip
post-freeze-24hr,OTB-201,20,0.12,extended timeseries,skip
post-freeze-24hr,OTB-201,40,0.13,extended timeseries,skip
post-freeze-24hr,OTB-201,60,,extended timeseries,skip
post-freeze-24hr,OTB-202,0,0.11,extended timeseries,skip
post-freeze-24hr,OTB-202,20,,extended timeseries,skip
post-freeze-24hr,OTB-202,40,0.12,extended timeseries,skip
post-freeze-24hr,OTB-202,60,0.14,extended timeseries,skip
post-freeze-24hr,OTB-203,0,0.11,extended timeseries,skip
post-freeze-24hr,OTB-203,20,,extended timeseries,skip
post-freeze-24hr,OTB-203,40,0.12,extended timeseries,skip
post-freeze-24hr,OTB-203,60,0.14,extended timeseries,skip
post-freeze-24hr,OTB-204,0,0.11,extended timeseries,skip
post-freeze-24hr,OTB-204,20,0.12,extended timeseries,skip
post-freeze-24hr,OTB-204,40,,extended timeseries,skip
post-freeze-24hr,OTB-204,60,0.14,extended timeseries,skip
post-freeze-24hr,OTB-205,0,0.11,extended timeseries,skip
post-freeze-24hr,OTB-205,20,,extended timeseries,skip
post-freeze-24hr,OTB-205,40,0.12,extended timeseries,skip
post-freeze-24hr,OTB-205,60,0.13,extended timeseries,skip
post-freeze-24hr,OTB-301,0,0.11,extended timeseries,
post-freeze-24hr,OTB-301,20,0.12,extended timeseries,
post-freeze-24hr,OTB-301,40,0.14,extended timeseries,
post-freeze-24hr,OTB-301,60,0.15,extended timeseries,
post-freeze-24hr,OTB-302,0,0.12,extended timeseries,
post-freeze-24hr,OTB-302,20,,extended timeseries,
post-freeze-24hr,OTB-302,40,0.14,extended timeseries,
post-freeze-24hr,OTB-302,60,0.15,extended timeseries,
post-freeze-24hr,OTB-303,0,0.12,extended timeseries,
post-freeze-24hr,OTB-303,20,0.12,extended timeseries,
post-freeze-24hr,OTB-303,40,0.14,extended timeseries,
post-freeze-24hr,OTB-303,60,0.15,extended timeseries,
post-freeze-24hr,OTB-304,0,0.11,extended timeseries,
post-freeze-24hr,OTB-304,20,,extended timeseries,
post-freeze-24hr,OTB-304,40,0.13,extended timeseries,
post-freeze-24hr,OTB-304,60,0.14,extended timeseries,
post-freeze-24hr,OTB-305,0,0.14,extended timeseries,
post-freeze-24hr,OTB-305,20,,extended timeseries,
post-freeze-24hr,OTB-305,40,0.14,extended timeseries,
post-freeze-24hr,OTB-305,60,0.15,extended timeseries,
post-freeze-24hr,OTB-401,0,0.12,extended timeseries,
post-freeze-24hr,OTB-401,20,0.12,extended timeseries,
post-freeze-24hr,OTB-401,40,0.13,extended timeseries,
post-freeze-24hr,OTB-401,60,0.14,extended timeseries,
post-freeze-24hr,OTB-402,0,0.12,extended timeseries,
post-freeze-24hr,OTB-402,20,0.13,extended timeseries,
post-freeze-24hr,OTB-402,40,0.14,extended timeseries,
post-freeze-24hr,OTB-402,60,0.15,extended timeseries,
post-freeze-24hr,OTB-403,0,0.13,extended timeseries,
post-freeze-24hr,OTB-403,20,,extended timeseries,
post-freeze-24hr,OTB-403,40,0.13,extended timeseries,
post-freeze-24hr,OTB-403,60,0.14,extended timeseries,
post-freeze-24hr,OTB-404,0,0.12,extended timeseries,
post-freeze-24hr,OTB-404,20,0.13,extended timeseries,
post-freeze-24hr,OTB-404,40,0.14,extended timeseries,
post-freeze-24hr,OTB-404,60,0.16,extended timeseries,
post-freeze-24hr,OTB-405,0,0.13,extended timeseries,
post-freeze-24hr,OTB-405,20,0.13,extended timeseries,
post-freeze-24hr,OTB-405,40,,extended timeseries,
post-freeze-24hr,OTB-405,60,0.14,extended timeseries,
post-freeze-24hr,OTO-101,0,0.11,extended timeseries,skip
post-freeze-24hr,OTO-101,20,0.12,extended timeseries,skip
post-freeze-24hr,OTO-101,40,0.15,extended timeseries,skip
post-freeze-24hr,OTO-101,60,0.16,extended timeseries,skip
post-freeze-24hr,OTO-102,0,0.11,extended timeseries,skip
post-freeze-24hr,OTO-102,20,0.13,extended timeseries,skip
post-freeze-24hr,OTO-102,40,0.14,extended timeseries,skip
post-freeze-24hr,OTO-102,60,0.16,extended timeseries,skip
post-freeze-24hr,OTO-103,0,0.12,extended timeseries,skip
post-freeze-24hr,OTO-103,20,0.13,extended timeseries,skip
post-freeze-24hr,OTO-103,40,0.15,extended timeseries,skip
post-freeze-24hr,OTO-103,60,,extended timeseries,skip
post-freeze-24hr,OTO-104,0,0.12,extended timeseries,skip
post-freeze-24hr,OTO-104,20,0.13,extended timeseries,skip
post-freeze-24hr,OTO-104,40,0.15,extended timeseries,skip
post-freeze-24hr,OTO-104,60,0.17,extended timeseries,skip
post-freeze-24hr,OTO-105,0,0.12,extended timeseries,skip
post-freeze-24hr,OTO-105,20,0.14,extended timeseries,skip
post-freeze-24hr,OTO-105,40,0.15,extended timeseries,skip
post-freeze-24hr,OTO-105,60,0.19,extended timeseries,skip
post-freeze-24hr,OTO-201,0,0.13,extended timeseries,skip
post-freeze-24hr,OTO-201,20,0.14,extended timeseries,skip
post-freeze-24hr,OTO-201,40,0.15,extended timeseries,skip
post-freeze-24hr,OTO-201,60,0.17,extended timeseries,skip
post-freeze-24hr,OTO-202,0,0.11,extended timeseries,skip
post-freeze-24hr,OTO-202,20,0.15,extended timeseries,skip
post-freeze-24hr,OTO-202,40,,extended timeseries,skip
post-freeze-24hr,OTO-202,60,0.17,extended timeseries,skip
post-freeze-24hr,OTO-203,0,0.12,extended timeseries,skip
post-freeze-24hr,OTO-203,20,0.15,extended timeseries,skip
post-freeze-24hr,OTO-203,40,0.16,extended timeseries,skip
post-freeze-24hr,OTO-203,60,0.18,extended timeseries,skip
post-freeze-24hr,OTO-204,0,0.12,extended timeseries,skip
post-freeze-24hr,OTO-204,20,0.13,extended timeseries,skip
post-freeze-24hr,OTO-204,40,0.14,extended timeseries,skip
post-freeze-24hr,OTO-204,60,0.16,extended timeseries,skip
post-freeze-24hr,OTO-205,0,0.13,extended timeseries,skip
post-freeze-24hr,OTO-205,20,0.14,extended timeseries,skip
post-freeze-24hr,OTO-205,40,0.16,extended timeseries,skip
post-freeze-24hr,OTO-205,60,0.19,extended timeseries,skip
post-freeze-24hr,OTO-301,0,0.12,extended timeseries,
post-freeze-24hr,OTO-301,20,0.15,extended timeseries,
post-freeze-24hr,OTO-301,40,,extended timeseries,
post-freeze-24hr,OTO-301,60,0.17,extended timeseries,
post-freeze-24hr,OTO-302,0,0.14,extended timeseries,
post-freeze-24hr,OTO-302,20,,extended timeseries,
post-freeze-24hr,OTO-302,40,0.18,extended timeseries,
post-freeze-24hr,OTO-302,60,,extended timeseries,
post-freeze-24hr,OTO-303,0,0.15,extended timeseries,
post-freeze-24hr,OTO-303,20,0.16,extended timeseries,
post-freeze-24hr,OTO-303,40,,extended timeseries,
post-freeze-24hr,OTO-303,60,,extended timeseries,
post-freeze-24hr,OTO-304,0,0.15,extended timeseries,
post-freeze-24hr,OTO-304,20,,extended timeseries,
post-freeze-24hr,OTO-304,40,0.16,extended timeseries,
post-freeze-24hr,OTO-304,60,,extended timeseries,
post-freeze-24hr,OTO-305,0,,extended timeseries,
post-freeze-24hr,OTO-305,20,0.14,extended timeseries,
post-freeze-24hr,OTO-305,40,0.16,extended timeseries,
post-freeze-24hr,OTO-305,60,,extended timeseries,
post-freeze-24hr,OTO-401,0,0.12,extended timeseries,
post-freeze-24hr,OTO-401,20,,extended timeseries,
post-freeze-24hr,OTO-401,40,0.14,extended timeseries,
post-freeze-24hr,OTO-401,60,0.16,extended timeseries,
post-freeze-24hr,OTO-402,0,0.11,extended timeseries,
post-freeze-24hr,OTO-402,20,0.12,extended timeseries,
post-freeze-24hr,OTO-402,40,,extended timeseries,
post-freeze-24hr,OTO-402,60,0.16,extended timeseries,
post-freeze-24hr,OTO-403,0,0.12,extended timeseries,
post-freeze-24hr,OTO-403,20,0.14,extended timeseries,
post-freeze-24hr,OTO-403,40,,extended timeseries,
post-freeze-24hr,OTO-403,60,0.16,extended timeseries,
post-freeze-24hr,OTO-404,0,0.13,extended timeseries,
post-freeze-24hr,OTO-404,20,,extended timeseries,
