time,sample_id,timepoint_min,CO2_moles_per_mL,notes1,notes2
post-freeze-24hr,OTO-404,40,0.15,extended timeseries,
post-freeze-24hr,OTO-404,60,,extended timeseries,
post-freeze-24hr,OTO-405,0,0.13,extended timeseries,
post-freeze-24hr,OTO-405,20,0.14,extended timeseries,
post-freeze-24hr,OTO-405,40,,extended timeseries,
post-freeze-24hr,OTO-405,60,0.18,extended timeseries,
post-freeze-6hr,OTB-101,0,0.13,,
post-freeze-6hr,OTB-101,20,0.17,,
post-freeze-6hr,OTB-101,40,0.18,,
post-freeze-6hr,OTB-101,60,0.21,,
post-freeze-6hr,OTB-102,0,0.14,,
post-freeze-6hr,OTB-102,20,,,
post-freeze-6hr,OTB-102,40,0.18,,
post-freeze-6hr,OTB-102,60,0.19,,
post-freeze-6hr,OTB-103,0,0.12,,
post-freeze-6hr,OTB-103,20,0.18,,
post-freeze-6hr,OTB-103,40,0.19,,
post-freeze-6hr,OTB-103,60,0.20,,
post-freeze-6hr,OTB-104,0,0.14,,
post-freeze-6hr,OTB-104,20,0.18,,
post-freeze-6hr,OTB-104,40,0.19,,
post-freeze-6hr,OTB-104,60,0.23,,
post-freeze-6hr,OTB-105,0,0.14,,
post-freeze-6hr,OTB-105,20,0.19,,
post-freeze-6hr,OTB-105,40,0.22,,
post-freeze-6hr,OTB-105,60,,,
post-freeze-6hr,OTB-201,0,0.13,,
post-freeze-6hr,OTB-201,20,0.19,,
post-freeze-6hr,OTB-201,40,0.20,,
post-freeze-6hr,OTB-201,60,0.21,,
post-freeze-6hr,OTB-202,0,0.14,,
post-freeze-6hr,OTB-202,20,0.19,,
post-freeze-6hr,OTB-202,40,0.21,,
post-freeze-6hr,OTB-202,60,0.22,,
post-freeze-6hr,OTB-203,0,0.13,,
post-freeze-6hr,OTB-203,20,0.18,,
post-freeze-6hr,OTB-203,40,0.20,,
post-freeze-6hr,OTB-203,60,0.24,,
post-freeze-6hr,OTB-204,0,0.14,,
post-freeze-6hr,OTB-204,20,0.18,,
post-freeze-6hr,OTB-204,40,0.19,,
post-freeze-6hr,OTB-204,60,0.24,,
post-freeze-6hr,OTB-205,0,0.15,,
post-freeze-6hr,OTB-205,20,0.19,,
post-freeze-6hr,OTB-205,40,0.20,,
post-freeze-6hr,OTB-205,60,0.24,,
post-freeze-6hr,OTB-301,0,0.16,,
post-freeze-6hr,OTB-301,20,0.19,,
post-freeze-6hr,OTB-301,40,0.21,,
post-freeze-6hr,OTB-301,60,0.23,,
post-freeze-6hr,OTB-302,0,0.14,,
post-freeze-6hr,OTB-302,20,0.18,,
post-freeze-6hr,OTB-302,40,0.20,,
post-freeze-6hr,OTB-302,60,0.23,,
post-freeze-6hr,OTB-303,0,0.14,,
post-freeze-6hr,OTB-303,20,0.18,,
post-freeze-6hr,OTB-303,40,0.20,,
post-freeze-6hr,OTB-303,60,0.24,,
post-freeze-6hr,OTB-304,0,0.14,,
post-freeze-6hr,OTB-304,20,0.19,,
post-freeze-6hr,OTB-304,40,0.20,,
post-freeze-6hr,OTB-304,60,0.22,,
post-freeze-6hr,OTB-305,0,0.15,,
post-freeze-6hr,OTB-305,20,0.20,,
post-freeze-6hr,OTB-305,40,0.21,,
post-freeze-6hr,OTB-305,60,0.23,,
post-freeze-6hr,OTB-401,0,0.13,,
post-freeze-6hr,OTB-401,20,0.13,,
post-freeze-6hr,OTB-401,40,0.14,,
post-freeze-6hr,OTB-401,60,0.17,,
post-freeze-6hr,OTB-402,0,0.13,,
post-freeze-6hr,OTB-402,20,0.13,,
post-freeze-6hr,OTB-402,40,0.14,,
post-freeze-6hr,OTB-402,60,0.14,,
post-freeze-6hr,OTB-403,0,0.13,,
post-freeze-6hr,OTB-403,20,0.13,,
post-freeze-6hr,OTB-403,40,0.15,,
post-freeze-6hr,OTB-403,60,0.16,,
post-freeze-6hr,OTB-404,0,0.13,,
post-freeze-6hr,OTB-404,20,0.14,,
post-freeze-6hr,OTB-404,40,0.15,,
post-freeze-6hr,OTB-404,60,0.15,,
post-freeze-6hr,OTB-405,0,0.11,,
post-freeze-6hr,OTB-405,20,0.15,,
post-freeze-6hr,OTB-405,40,0.16,,
post-freeze-6hr,OTB-405,60,0.17,,
post-freeze-6hr,OTO-101,0,0.14,,
post-freeze-6hr,OTO-101,20,0.18,,
post-freeze-6hr,OTO-101,40,,,
post-freeze-6hr,OTO-101,60,,,
post-freeze-6hr,OTO-102,0,0.14,,
post-freeze-6hr,OTO-102,20,0.16,,
post-freeze-6hr,OTO-102,40,0.17,,
post-freeze-6hr,OTO-102,60,0.18,,
post-freeze-6hr,OTO-103,0,0.13,,
post-freeze-6hr,OTO-103,20,0.16,,
post-freeze-6hr,OTO-103,40,0.17,,
post-freeze-6hr,OTO-103,60,0.18,,
post-freeze-6hr,OTO-104,0,0.14,,
post-freeze-6hr,OTO-104,20,0.16,,
post-freeze-6hr,OTO-104,40,,,
post-freeze-6hr,OTO-104,60,0.17,,
post-freeze-6hr,OTO-105,0,0.14,,
post-freeze-6hr,OTO-105,20,0.17,,
post-freeze-6hr,OTO-105,40,,,
post-freeze-6hr,OTO-105,60,0.19,,
post-freeze-6hr,OTO-201,0,0.14,,
post-freeze-6hr,OTO-201,20,0.15,,
post-freeze-6hr,OTO-201,40,0.17,,
post-freeze-6hr,OTO-201,60,,,
post-freeze-6hr,OTO-202,0,0.15,,
post-freeze-6hr,OTO-202,20,0.17,,
post-freeze-6hr,OTO-202,40,,,
post-freeze-6hr,OTO-202,60,0.19,,
post-freeze-6hr,OTO-203,0,0.14,,
post-freeze-6hr,OTO-203,20,0.16,,
post-freeze-6hr,OTO-203,40,0.18,,
post-freeze-6hr,OTO-203,60,0.20,,
post-freeze-6hr,OTO-204,0,0.15,,
post-freeze-6hr,OTO-204,20,0.15,,
post-freeze-6hr,OTO-204,40,0.17,,
post-freeze-6hr,OTO-204,60,,,
post-freeze-6hr,OTO-205,0,0.15,,
post-freeze-6hr,OTO-205,20,0.16,,
post-freeze-6hr,OTO-205,40,0.18,,
post-freeze-6hr,OTO-205,60,0.19,,
post-freeze-6hr,OTO-301,0,0.15,,
post-freeze-6hr,OTO-301,20,0.17,,
post-freeze-6hr,OTO-301,40,0.18,,
post-freeze-6hr,OTO-301,60,0.20,,
post-freeze-6hr,OTO-302,0,0.14,,
post-freeze-6hr,OTO-302,20,0.15,,
post-freeze-6hr,OTO-302,40,,,
post-freeze-6hr,OTO-302,60,0.16,,
post-freeze-6hr,OTO-303,0,0.15,,
post-freeze-6hr,OTO-303,20,0.16,,
post-freeze-6hr,OTO-303,40,,,
post-freeze-6hr,OTO-303,60,0.17,,
post-freeze-6hr,OTO-304,0,0.15,,
post-freeze-6hr,OTO-304,20,,,
post-freeze-6hr,OTO-304,40,0.17,,
post-freeze-6hr,OTO-304,60,,,
post-freeze-6hr,OTO-305,0,0.15,,
post-freeze-6hr,OTO-305,20,,,
post-freeze-6hr,OTO-305,40,0.16,,
post-freeze-6hr,OTO-305,60,0.18,,
post-freeze-6hr,OTO-401,0,0.14,,
post-freeze-6hr,OTO-401,20,0.15,,
post-freeze-6hr,OTO-401,40,,,
post-freeze-6hr,OTO-401,60,0.17,,
post-freeze-6hr,OTO-402,0,0.15,,
post-freeze-6hr,OTO-402,20,,,
post-freeze-6hr,OTO-402,40,0.16,,
post-freeze-6hr,OTO-402,60,0.19,,
post-freeze-6hr,OTO-403,0,0.15,,
post-freeze-6hr,OTO-403,20,,,
post-freeze-6hr,OTO-403,40,0.17,,
post-freeze-6hr,OTO-403,60,0.18,,
post-freeze-6hr,OTO-404,0,0.16,,
post-freeze-6hr,OTO-404,20,,,
post-freeze-6hr,OTO-404,40,0.18,,
post-freeze-6hr,OTO-404,60,,,
post-freeze-6hr,OTO-405,0,0.16,,
post-freeze-6hr,OTO-405,20,,,
post-freeze-6hr,OTO-405,40,0.17,,
post-freeze-6hr,OTO-405,60,0.19,,
thaw1,OTB-201,0,0.08,extended timeseries,skip
thaw1,OTB-201,20,0.09,extended timeseries,skip
thaw1,OTB-201,40,0.10,extended timeseries,skip
thaw1,OTB-201,60,0.12,extended timeseries,skip
thaw1,OTB-202,0,0.09,extended timeseries,skip
thaw1,OTB-202,20,,extended timeseries,skip
thaw1,OTB-202,40,0.11,extended timeseries,skip
thaw1,OTB-202,60,0.11,extended timeseries,skip
thaw1,OTB-203,0,0.09,extended timeseries,skip
thaw1,OTB-203,20,0.10,extended timeseries,skip
thaw1,OTB-203,40,0.11,extended timeseries,skip
thaw1,OTB-203,60,0.12,extended timeseries,skip
thaw1,OTB-204,0,0.09,extended timeseries,skip
thaw1,OTB-204,20,0.10,extended timeseries,skip
thaw1,OTB-204,40,0.10,extended timeseries,skip
thaw1,OTB-204,60,0.11,extended timeseries,skip
thaw1,OTB-205,0,0.08,extended timeseries,skip
thaw1,OTB-205,20,0.09,extended timeseries,skip
thaw1,OTB-205,40,0.11,extended timeseries,skip
thaw1,OTB-205,60,0.11,extended timeseries,skip
thaw1,OTB-301,0,0.07,extended timeseries,
thaw1,OTB-301,20,0.09,extended timeseries,
thaw1,OTB-301,40,,extended timeseries,
thaw1,OTB-301,60,0.09,extended timeseries,
thaw1,OTB-302,0,0.07,extended timeseries,
thaw1,OTB-302,20,0.08,extended timeseries,
thaw1,OTB-302,40,0.09,extended timeseries,
thaw1,OTB-302,60,0.10,extended timeseries,
thaw1,OTB-303,0,0.08,extended timeseries,
thaw1,OTB-303,20,0.09,extended timeseries,
thaw1,OTB-303,40,0.10,extended timeseries,
thaw1,OTB-303,60,0.11,extended timeseries,
thaw1,OTB-304,0,0.07,extended timeseries,
thaw1,OTB-304,20,0.08,extended timeseries,
thaw1,OTB-304,40,0.08,extended timeseries,
thaw1,OTB-304,60,0.09,extended timeseries,
thaw1,OTB-305,0,0.07,extended timeseries,
thaw1,OTB-305,20,0.08,extended timeseries,
thaw1,OTB-305,40,0.09,extended timeseries,
thaw1,OTB-305,60,0.10,extended timeseries,
thaw1,OTB-401,0,0.07,extended timeseries,
thaw1,OTB-401,20,0.07,extended timeseries,
thaw1,OTB-401,40,0.07,extended timeseries,
thaw1,OTB-401,60,0.07,extended timeseries,
thaw1,OTB-402,0,0.08,extended timeseries,
thaw1,OTB-402,20,0.08,extended timeseries,
thaw1,OTB-402,40,0.08,extended timeseries,
thaw1,OTB-402,60,0.08,extended timeseries,
thaw1,OTB-403,0,0.09,extended timeseries,
thaw1,OTB-403,20,0.07,extended timeseries,
thaw1,OTB-403,40,0.07,extended timeseries,
thaw1,OTB-403,60,0.07,extended timeseries,
thaw1,OTB-404,0,0.08,extended timeseries,
thaw1,OTB-404,20,0.07,extended timeseries,
thaw1,OTB-404,40,0.07,extended timeseries,
thaw1,OTB-404,60,0.07,extended timeseries,
thaw1,OTB-405,0,0.07,extended timeseries,
thaw1,OTB-405,20,0.07,extended timeseries,
thaw1,OTB-405,40,0.07,extended timeseries,
thaw1,OTB-405,60,0.07,extended timeseries,
thaw1,OTO-201,0,0.06,extended timeseries,skip
thaw1,OTO-201,20,0.09,extended timeseries,skip
thaw1,OTO-201,40,0.11,extended timeseries,skip
thaw1,OTO-201,60,0.13,extended timeseries,skip
thaw1,OTO-202,0,0.06,extended timeseries,skip
thaw1,OTO-202,20,0.09,extended timeseries,skip
thaw1,OTO-202,40,0.12,extended timeseries,skip
thaw1,OTO-202,60,0.14,extended timeseries,skip
thaw1,OTO-203,0,0.06,extended timeseries,skip
thaw1,OTO-203,20,0.09,extended timeseries,skip
thaw1,OTO-203,40,0.12,extended timeseries,skip
thaw1,OTO-203,60,0.14,extended timeseries,skip
thaw1,OTO-204,0,0.08,extended timeseries,skip
thaw1,OTO-204,20,0.10,extended timeseries,skip
thaw1,OTO-204,40,0.13,extended timeseries,skip
thaw1,OTO-204,60,0.15,extended timeseries,skip
thaw1,OTO-205,0,0.07,extended timeseries,skip
thaw1,OTO-205,20,0.10,extended timeseries,skip
thaw1,OTO-205,40,0.13,extended timeseries,skip
thaw1,OTO-205,60,0.15,extended timeseries,skip
thaw1,OTO-301,0,0.07,extended timeseries,
thaw1,OTO-301,20,0.10,extended timeseries,
thaw1,OTO-301,40,0.13,extended timeseries,
thaw1,OTO-301,60,0.15,extended timeseries,
thaw1,OTO-302,0,0.07,extended timeseries,
thaw1,OTO-302,20,0.10,extended timeseries,
thaw1,OTO-302,40,0.12,extended timeseries,
thaw1,OTO-302,60,0.15,extended timeseries,
thaw1,OTO-303,0,0.07,extended timeseries,
thaw1,OTO-303,20,0.10,extended timeseries,
thaw1,OTO-303,40,0.13,extended timeseries,
thaw1,OTO-303,60,0.16,extended timeseries,
thaw1,OTO-304,0,0.08,extended timeseries,
thaw1,OTO-304,20,0.11,extended timeseries,
thaw1,OTO-304,40,0.13,extended timeseries,
thaw1,OTO-304,60,0.15,extended timeseries,
thaw1,OTO-305,0,0.08,extended timeseries,
thaw1,OTO-305,20,0.11,extended timeseries,
thaw1,OTO-305,40,0.14,extended timeseries,
thaw1,OTO-305,60,0.16,extended timeseries,
thaw1,OTO-401,0,0.07,extended timeseries,
thaw1,OTO-401,20,0.08,extended timeseries,
thaw1,OTO-401,40,0.10,extended timeseries,
thaw1,OTO-401,60,0.11,extended timeseries,
thaw1,OTO-402,0,0.07,extended timeseries,
thaw1,OTO-402,20,0.08,extended timeseries,
thaw1,OTO-402,40,0.10,extended timeseries,
thaw1,OTO-402,60,0.11,extended timeseries,
thaw1,OTO-403,0,0.07,extended timeseries,
thaw1,OTO-403,20,0.09,extended timeseries,
thaw1,OTO-403,40,0.11,extended timeseries,
thaw1,OTO-403,60,0.11,extended timeseries,
thaw1,OTO-404,0,0.08,extended timeseries,
thaw1,OTO-404,20,0.09,extended timeseries,
thaw1,OTO-404,40,0.10,extended timeseries,
thaw1,OTO-404,60,0.11,extended timeseries,
thaw1,OTO-405,0,0.07,extended timeseries,
thaw1,OTO-405,20,0.09,extended timeseries,
thaw1,OTO-405,40,0.11,extended timeseries,
thaw1,OTO-405,60,0.11,extended timeseries,
thaw3,OTB-301,0,0.08,extended timeseries,
thaw3,OTB-301,20,,extended timeseries,
thaw3,OTB-301,40,,extended timeseries,
thaw3,OTB-301,60,0.10,extended timeseries,
thaw3,OTB-302,0,0.06,extended timeseries,
thaw3,OTB-302,20,0.08,extended timeseries,
thaw3,OTB-302,40,,extended timeseries,
thaw3,OTB-302,60,,extended timeseries,
thaw3,OTB-303,0,0.06,extended timeseries,
thaw3,OTB-303,20,0.08,extended timeseries,
thaw3,OTB-303,40,,extended timeseries,
thaw3,OTB-303,60,,extended timeseries,
thaw3,OTB-304,0,0.06,extended timeseries,
thaw3,OTB-304,20,0.10,extended timeseries,
thaw3,OTB-304,40,,extended timeseries,
thaw3,OTB-304,60,,extended timeseries,
thaw3,OTB-305,0,0.05,extended timeseries,
thaw3,OTB-305,20,0.07,extended timeseries,
thaw3,OTB-305,40,,extended timeseries,
thaw3,OTB-305,60,0.08,extended timeseries,
thaw3,OTB-401,0,0.05,extended timeseries,
thaw3,OTB-401,20,0.06,extended timeseries,
thaw3,OTB-401,40,0.07,extended timeseries,
thaw3,OTB-401,60,,extended timeseries,
thaw3,OTB-402,0,0.06,extended timeseries,
thaw3,OTB-402,20,0.06,extended timeseries,
thaw3,OTB-402,40,0.06,extended timeseries,
thaw3,OTB-402,60,0.06,extended timeseries,
thaw3,OTB-403,0,0.06,extended timeseries,
thaw3,OTB-403,20,0.07,extended timeseries,
thaw3,OTB-403,40,,extended timeseries,
thaw3,OTB-403,60,,extended timeseries,
thaw3,OTB-404,0,,extended timeseries,
thaw3,OTB-404,20,0.06,extended timeseries,
thaw3,OTB-404,40,0.06,extended timeseries,
thaw3,OTB-404,60,0.06,extended timeseries,
thaw3,OTB-405,0,0.06,extended timeseries,
thaw3,OTB-405,20,,extended timeseries,
thaw3,OTB-405,40,0.07,extended timeseries,
thaw3,OTB-405,60,,extended timeseries,
thaw3,OTO-301,0,0.01,extended timeseries,
thaw3,OTO-301,20,0.05,extended timeseries,
thaw3,OTO-301,40,0.07,extended timeseries,
thaw3,OTO-301,60,0.10,extended timeseries,
thaw3,OTO-302,0,0.07,extended timeseries,
thaw3,OTO-302,20,0.09,extended timeseries,
thaw3,OTO-302,40,0.11,extended timeseries,
thaw3,OTO-302,60,0.12,extended timeseries,
thaw3,OTO-303,0,0.07,extended timeseries,
thaw3,OTO-303,20,0.09,extended timeseries,
thaw3,OTO-303,40,0.11,extended timeseries,
thaw3,OTO-303,60,0.12,extended timeseries,
thaw3,OTO-304,0,0.07,extended timeseries,
thaw3,OTO-304,20,0.10,extended timeseries,
thaw3,OTO-304,40,0.12,extended timeseries,
thaw3,OTO-304,60,0.13,extended timeseries,
thaw3,OTO-305,0,0.07,extended timeseries,
thaw3,OTO-305,20,,extended timeseries,
thaw3,OTO-305,40,0.11,extended timeseries,
thaw3,OTO-305,60,0.12,extended timeseries,
thaw3,OTO-401,0,0.09,extended timeseries,
thaw3,OTO-401,20,0.10,extended timeseries,
thaw3,OTO-401,40,0.11,extended timeseries,
thaw3,OTO-401,60,0.12,extended timeseries,
thaw3,OTO-402,0,0.08,extended timeseries,
thaw3,OTO-402,20,0.10,extended timeseries,
thaw3,OTO-402,40,,extended timeseries,
thaw3,OTO-402,60,0.13,extended timeseries,
thaw3,OTO-403,0,0.07,extended timeseries,
thaw3,OTO-403,20,0.10,extended timeseries,
thaw3,OTO-403,40,0.13,extended timeseries,
thaw3,OTO-403,60,0.15,extended timeseries,
thaw3,OTO-404,0,0.08,extended timeseries,
thaw3,OTO-404,20,0.12,extended timeseries,
thaw3,OTO-404,40,0.13,extended timeseries,
thaw3,OTO-404,60,,extended timeseries,
thaw3,OTO-405,0,0.09,extended timeseries,
thaw3,OTO-405,20,,extended timeseries,
thaw3,OTO-405,40,0.11,extended timeseries,
thaw3,OTO-405,60,0.12,extended timeseries,
thaw5,OTB-301,0,0.15,extended timeseries,
thaw5,OTB-301,20,0.13,extended timeseries,
thaw5,OTB-301,40,0.13,extended timeseries,
thaw5,OTB-301,60,,extended timeseries,
thaw5,OTB-302,0,0.11,extended timeseries,
thaw5,OTB-302,20,0.12,extended timeseries,
thaw5,OTB-302,40,0.14,extended timeseries,
thaw5,OTB-302,60,,extended timeseries,
thaw5,OTB-303,0,0.11,extended timeseries,
thaw5,OTB-303,20,0.12,extended timeseries,
thaw5,OTB-303,40,0.12,extended timeseries,
thaw5,OTB-303,60,0.13,extended timeseries,
thaw5,OTB-304,0,0.12,extended timeseries,
thaw5,OTB-304,20,0.13,extended timeseries,
thaw5,OTB-304,40,0.13,extended timeseries,
thaw5,OTB-304,60,0.13,extended timeseries,
thaw5,OTB-305,0,0.12,extended timeseries,
thaw5,OTB-305,20,0.13,extended timeseries,
thaw5,OTB-305,40,0.13,extended timeseries,
thaw5,OTB-305,60,0.14,extended timeseries,
thaw5,OTB-401,0,0.13,extended timeseries,
thaw5,OTB-401,20,0.12,extended timeseries,
thaw5,OTB-401,40,0.12,extended timeseries,
thaw5,OTB-401,60,0.12,extended timeseries,
thaw5,OTB-402,0,0.10,extended timeseries,
thaw5,OTB-402,20,0.11,extended timeseries,
thaw5,OTB-402,40,,extended timeseries,
thaw5,OTB-402,60,0.12,extended timeseries,
thaw5,OTB-403,0,0.11,extended timeseries,
thaw5,OTB-403,20,0.12,extended timeseries,
thaw5,OTB-403,40,0.12,extended timeseries,
thaw5,OTB-403,60,0.13,extended timeseries,
thaw5,OTB-404,0,0.13,extended timeseries,
thaw5,OTB-404,20,0.17,extended timeseries,
thaw5,OTB-404,40,0.13,extended timeseries,
thaw5,OTB-404,60,0.12,extended timeseries,
thaw5,OTB-405,0,0.13,extended timeseries,
thaw5,OTB-405,20,0.13,extended timeseries,
thaw5,OTB-405,40,0.13,extended timeseries,
thaw5,OTB-405,60,0.13,extended timeseries,
thaw5,OTO-301,0,0.14,extended timeseries,
thaw5,OTO-301,20,0.17,extended timeseries,
thaw5,OTO-301,40,0.18,extended timeseries,
thaw5,OTO-301,60,0.20,extended timeseries,
thaw5,OTO-302,0,0.14,extended timeseries,
thaw5,OTO-302,20,0.16,extended timeseries,
thaw5,OTO-302,40,0.18,extended timeseries,
thaw5,OTO-302,60,0.18,extended timeseries,
thaw5,OTO-303,0,0.15,extended timeseries,
thaw5,OTO-303,20,0.15,extended timeseries,
thaw5,OTO-303,40,0.17,extended timeseries,
thaw5,OTO-303,60,0.18,extended timeseries,
thaw5,OTO-304,0,0.16,extended timeseries,
thaw5,OTO-304,20,0.17,extended timeseries,
thaw5,OTO-304,40,0.19,extended timeseries,
thaw5,OTO-304,60,0.22,extended timeseries,
thaw5,OTO-305,0,0.17,extended timeseries,
thaw5,OTO-305,20,,extended timeseries,
thaw5,OTO-305,40,,extended timeseries,
thaw5,OTO-305,60,0.19,extended timeseries,
thaw5,OTO-401,0,0.14,extended timeseries,
thaw5,OTO-401,20,0.15,extended timeseries,
thaw5,OTO-401,40,0.17,extended timeseries,
thaw5,OTO-401,60,,extended timeseries,
thaw5,OTO-402,0,0.16,extended timeseries,
thaw5,OTO-402,20,0.15,extended timeseries,
thaw5,OTO-402,40,0.14,extended timeseries,
thaw5,OTO-402,60,0.16,extended timeseries,
thaw5,OTO-403,0,0.16,extended timeseries,
thaw5,OTO-403,20,,extended timeseries,
thaw5,OTO-403,40,,extended timeseries,
thaw5,OTO-403,60,0.18,extended timeseries,
thaw5,OTO-404,0,0.19,extended timeseries,
thaw5,OTO-404,20,0.16,extended timeseries,
thaw5,OTO-404,40,0.16,extended timeseries,
thaw5,OTO-404,60,0.18,extended timeseries,
thaw5,OTO-405,0,0.16,extended timeseries,
thaw5,OTO-405,20,,extended timeseries,
thaw5,OTO-405,40,0.17,extended timeseries,
thaw5,OTO-405,60,0.20,extended timeseries,
thaw6,OTB-301,0,0.12,extended timeseries,
thaw6,OTB-301,20,,extended timeseries,
thaw6,OTB-301,40,0.13,extended timeseries,
thaw6,OTB-301,60,,extended timeseries,
thaw6,OTB-302,0,0.13,extended timeseries,
thaw6,OTB-302,20,0.12,extended timeseries,
thaw6,OTB-302,40,,extended timeseries,
thaw6,OTB-302,60,,extended timeseries,
thaw6,OTB-303,0,0.12,extended timeseries,
thaw6,OTB-303,20,,extended timeseries,
thaw6,OTB-303,40,0.13,extended timeseries,
thaw6,OTB-303,60,0.14,extended timeseries,
thaw6,OTB-304,0,0.13,extended timeseries,
thaw6,OTB-304,20,,extended timeseries,
thaw6,OTB-304,40,0.14,extended timeseries,
thaw6,OTB-304,60,,extended timeseries,
thaw6,OTB-305,0,0.13,extended timeseries,
thaw6,OTB-305,20,,extended timeseries,
thaw6,OTB-305,40,0.15,extended timeseries,
thaw6,OTB-305,60,,extended timeseries,
thaw6,OTB-401,0,0.13,extended timeseries,
thaw6,OTB-401,20,0.13,extended timeseries,
thaw6,OTB-401,40,0.13,extended timeseries,
thaw6,OTB-401,60,0.12,extended timeseries,
thaw6,OTB-402,0,0.12,extended timeseries,
thaw6,OTB-402,20,,extended timeseries,
thaw6,OTB-402,40,,extended timeseries,
thaw6,OTB-402,60,0.13,extended timeseries,
thaw6,OTB-403,0,0.14,extended timeseries,
thaw6,OTB-403,20,0.12,extended timeseries,
thaw6,OTB-403,40,0.13,extended timeseries,
thaw6,OTB-403,60,0.12,extended timeseries,
thaw6,OTB-404,0,0.13,extended timeseries,
thaw6,OTB-404,20,,extended timeseries,
thaw6,OTB-404,40,,extended timeseries,
thaw6,OTB-404,60,0.14,extended timeseries,
thaw6,OTB-405,0,0.14,extended timeseries,
thaw6,OTB-405,20,0.13,extended timeseries,
thaw6,OTB-405,40,0.12,extended timeseries,
thaw6,OTB-405,60,0.13,extended timeseries,
thaw6,OTO-301,0,0.12,extended timeseries,
thaw6,OTO-301,20,0.13,extended timeseries,
thaw6,OTO-301,40,0.15,extended timeseries,
thaw6,OTO-301,60,0.16,extended timeseries,
thaw6,OTO-302,0,0.12,extended timeseries,
thaw6,OTO-302,20,0.14,extended timeseries,
thaw6,OTO-302,40,,extended timeseries,
thaw6,OTO-302,60,0.15,extended timeseries,
thaw6,OTO-303,0,0.12,extended timeseries,
thaw6,OTO-303,20,0.13,extended timeseries,
thaw6,OTO-303,40,0.14,extended timeseries,
thaw6,OTO-303,60,0.15,extended timeseries,
thaw6,OTO-304,0,0.13,extended timeseries,
thaw6,OTO-304,20,0.14,extended timeseries,
thaw6,OTO-304,40,,extended timeseries,
thaw6,OTO-304,60,0.16,extended timeseries,
thaw6,OTO-305,0,0.14,extended timeseries,
thaw6,OTO-305,20,,extended timeseries,
thaw6,OTO-305,40,0.15,extended timeseries,
thaw6,OTO-305,60,0.15,extended timeseries,
thaw6,OTO-401,0,0.12,extended timeseries,
thaw6,OTO-401,20,0.13,extended timeseries,
thaw6,OTO-401,40,0.14,extended timeseries,
thaw6,OTO-401,60,0.15,extended timeseries,
thaw6,OTO-402,0,0.12,extended timeseries,
thaw6,OTO-402,20,0.12,extended timeseries,
thaw6,OTO-402,40,0.13,extended timeseries,
thaw6,OTO-402,60,0.13,extended timeseries,
thaw6,OTO-403,0,0.12,extended timeseries,
thaw6,OTO-403,20,0.13,extended timeseries,
thaw6,OTO-403,40,0.13,extended timeseries,
thaw6,OTO-403,60,0.14,extended timeseries,
thaw6,OTO-404,0,0.13,extended timeseries,
thaw6,OTO-404,20,,extended timeseries,
thaw6,OTO-404,40,,extended timeseries,
thaw6,OTO-404,60,0.15,extended timeseries,
thaw6,OTO-405,0,0.16,extended timeseries,
thaw6,OTO-405,20,0.17,extended timeseries,
thaw6,OTO-405,40,0.18,extended timeseries,
thaw6,OTO-405,60,0.20,extended timeseries,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,