sample_id,time,headspace_mL,od_soil_g
OTO-101,initial,465.0,77.14
OTO-102,initial,465.0,75.45
OTO-103,initial,426.0,81.18
OTO-104,initial,426.0,79.53
OTO-105,initial,465.0,80.74
OTO-201,initial,439.0,79.51
OTO-202,initial,439.0,87.38
OTO-203,initial,380.1,84.08
OTO-204,initial,439.0,80.62
OTO-205,initial,439.0,85.53
OTO-301,initial,418.9,79.24
OTO-302,initial,359.3,81.57
OTO-303,initial,359.3,80.71
OTO-304,initial,359.3,81.80
OTO-305,initial,359.3,80.68
OTO-401,initial,380.1,82.56
OTO-402,initial,442.1,83.12
OTO-403,initial,284.7,85.35
OTO-404,initial,441.9,85.67
OTO-405,initial,441.9,85.64
OTB-101,initial,269.8,128.39
OTB-102,initial,307.1,121.18
OTB-103,initial,269.8,122.41
OTB-104,initial,269.8,142.01
OTB-105,initial,269.8,119.46
OTB-201,initial,307.1,123.94
OTB-202,initial,307.1,132.37
OTB-203,initial,269.8,129.43
OTB-204,initial,269.8,135.69
OTB-205,initial,307.1,130.04
OTB-301,initial,307.1,120.05
OTB-302,initial,307.1,123.23
OTB-303,initial,307.1,125.94
OTB-304,initial,307.1,120.41
OTB-305,initial,269.8,124.76
OTB-401,initial,314.7,109.89
OTB-402,initial,314.7,109.98
OTB-403,initial,314.7,110.97
OTB-404,initial,314.7,107.82
OTB-405,initial,307.1,141.99
OTO-101,post-freeze-6hr,427.0,77.00
OTO-102,post-freeze-6hr,427.0,78.35
OTO-103,post-freeze-6hr,356.5,80.89
OTO-104,post-freeze-6hr,356.5,80.86
OTO-105,post-freeze-6hr,427.0,83.38
OTO-201,post-freeze-6hr,411.5,77.90
OTO-202,post-freeze-6hr,411.5,88.02
OTO-203,post-freeze-6hr,356.5,85.36
OTO-204,post-freeze-6hr,411.5,78.09
OTO-205,post-freeze-6hr,411.5,83.74
OTO-301,post-freeze-6hr,356.5,80.04
OTO-302,post-freeze-6hr,356.5,82.66
OTO-303,post-freeze-6hr,356.5,84.13
OTO-304,post-freeze-6hr,356.5,81.83
OTO-305,post-freeze-6hr,356.5,80.25
OTO-401,post-freeze-6hr,356.5,81.74
OTO-402,post-freeze-6hr,356.5,80.99
OTO-403,post-freeze-6hr,291.9,83.90
OTO-404,post-freeze-6hr,291.9,84.05
OTO-405,post-freeze-6hr,356.5,80.52
OTB-101,post-freeze-6hr,269.8,131.11
OTB-102,post-freeze-6hr,307.1,123.11
OTB-103,post-freeze-6hr,269.8,124.63
OTB-104,post-freeze-6hr,269.8,143.84
OTB-105,post-freeze-6hr,269.8,120.17
OTB-201,post-freeze-6hr,307.1,126.09
OTB-202,post-freeze-6hr,307.1,134.29
OTB-203,post-freeze-6hr,269.8,133.63
OTB-204,post-freeze-6hr,269.8,138.16
OTB-205,post-freeze-6hr,307.1,131.58
OTB-301,post-freeze-6hr,307.1,121.49
OTB-302,post-freeze-6hr,307.1,124.31
OTB-303,post-freeze-6hr,307.1,127.31
OTB-304,post-freeze-6hr,307.1,121.49
OTB-305,post-freeze-6hr,269.8,123.65
OTB-401,post-freeze-6hr,314.7,110.84
OTB-402,post-freeze-6hr,314.7,111.85
OTB-403,post-freeze-6hr,314.7,112.61
OTB-404,post-freeze-6hr,314.7,109.48
OTB-405,post-freeze-6hr,307.1,143.16
OTO-101,post-freeze-24hr,427.0,77.00
OTO-102,post-freeze-24hr,427.0,78.35
OTO-103,post-freeze-24hr,356.5,80.89
OTO-104,post-freeze-24hr,356.5,80.86
OTO-105,post-freeze-24hr,427.0,83.38
OTO-201,post-freeze-24hr,411.5,77.90
OTO-202,post-freeze-24hr,411.5,88.02
OTO-203,post-freeze-24hr,356.5,85.36
OTO-204,post-freeze-24hr,411.5,78.09
OTO-205,post-freeze-24hr,411.5,83.74
OTO-301,post-freeze-24hr,356.5,80.04
OTO-302,post-freeze-24hr,356.5,82.66
OTO-303,post-freeze-24hr,356.5,84.13
OTO-304,post-freeze-24hr,356.5,81.83
OTO-305,post-freeze-24hr,356.5,80.25
OTO-401,post-freeze-24hr,356.5,81.74
OTO-402,post-freeze-24hr,356.5,80.99
OTO-403,post-freeze-24hr,291.9,83.90
OTO-404,post-freeze-24hr,291.9,84.05
OTO-405,post-freeze-24hr,356.5,80.52
OTB-101,post-freeze-24hr,269.8,131.11
OTB-102,post-freeze-24hr,307.1,123.11
OTB-103,post-freeze-24hr,269.8,124.63
OTB-104,post-freeze-24hr,269.8,143.84
OTB-105,post-freeze-24hr,269.8,120.17
OTB-201,post-freeze-24hr,307.1,126.09
OTB-202,post-freeze-24hr,307.1,134.29
OTB-203,post-freeze-24hr,269.8,133.63
OTB-204,post-freeze-24hr,269.8,138.16
OTB-205,post-freeze-24hr,307.1,131.58
OTB-301,post-freeze-24hr,307.1,121.49
OTB-302,post-freeze-24hr,307.1,124.31
OTB-303,post-freeze-24hr,307.1,127.31
OTB-304,post-freeze-24hr,307.1,121.49
OTB-305,post-freeze-24hr,269.8,123.65
OTB-401,post-freeze-24hr,314.7,110.84
OTB-402,post-freeze-24hr,314.7,111.85
OTB-403,post-freeze-24hr,314.7,112.61
OTB-404,post-freeze-24hr,314.7,109.48
OTB-405,post-freeze-24hr,307.1,143.16