tctn_id,tn_perc,tc_perc
LT-001,1.26,39.9
LT-002,1.17,37.8
LT-003,1.23,40.1
LT-004,1.26,39.6
LT-005,1.28,40.6
LT-006,1.19,38.1
LT-007,1.26,40.1
LT-008,1.29,40.4
LT-009,1.25,40.4
LT-010,1.2,37.6
LT-011,1.21,39.3
LT-012,1.23,39.7
LT-013,1.17,37.8
LT-014,1.19,38.6
LT-015,1.06,33.1
LT-016,1.18,38
LT-017,1.2,38.1
LT-018,1.26,39.1
LT-019,1.22,39.3
LT-020,1.26,39.8
LT-021,0.138,3.24
LT-022,0.143,3.64
LT-023,0.137,3.27
LT-024,0.136,3.31
LT-025,0.136,3.28
LT-026,0.136,3.3
LT-027,0.129,3.07
LT-028,0.133,3.18
LT-029,0.135,3.32
LT-030,0.142,3.4
LT-031,0.137,3.27
LT-032,0.139,3.4
LT-033,0.135,3.18
LT-034,0.138,3.34
LT-035,0.131,3.18
LT-036,0.143,3.48
LT-037,0.137,3.31
LT-038,0.14,3.4
LT-039,0.136,3.27
LT-040,0.136,3.21