tctn_id,time,sample_id,skip
LT001,post-freeze,OTO-101,
LT002,post-freeze,OTO-102,
LT003,post-freeze,OTO-103,
LT004,post-freeze,OTO-104,
LT005,post-freeze,OTO-105,
LT006,post-freeze,OTO-201,
LT007,post-freeze,OTO-202,
LT008,post-freeze,OTO-203,
LT009,post-freeze,OTO-204,
LT010,post-freeze,OTO-205,
LT011,post-freeze,OTO-301,
LT012,post-freeze,OTO-302,
LT013,post-freeze,OTO-303,
LT014,post-freeze,OTO-304,
LT015,post-freeze,OTO-305,skip
LT016,post-freeze,OTO-401,
LT017,post-freeze,OTO-402,
LT018,post-freeze,OTO-403,
LT019,post-freeze,OTO-404,
LT020,post-freeze,OTO-405,
LT021,post-freeze,OTB-101,
LT022,post-freeze,OTB-102,
LT023,post-freeze,OTB-103,
LT024,post-freeze,OTB-104,
LT025,post-freeze,OTB-105,
LT026,post-freeze,OTB-201,
LT027,post-freeze,OTB-202,
LT028,post-freeze,OTB-203,
LT029,post-freeze,OTB-204,
LT030,post-freeze,OTB-205,
LT031,post-freeze,OTB-301,
LT032,post-freeze,OTB-302,
LT033,post-freeze,OTB-303,
LT034,post-freeze,OTB-304,
LT035,post-freeze,OTB-305,
LT036,post-freeze,OTB-401,
LT037,post-freeze,OTB-402,
LT038,post-freeze,OTB-403,
LT039,post-freeze,OTB-404,
LT040,post-freeze,OTB-405,